"Time (s) Run #1","X Magnetic Field Strength (G) Run #1","Y Magnetic Field Strength (G) Run #1","Z Magnetic Field Strength (G) Run #1","|Resultant| Magnetic Field Strength (G) Run #1"
27.600,-0.168,-49.6,0.437,49.6
27.700,-0.168,-49.6,0.437,49.6
27.800,-0.168,-49.6,0.437,49.6
27.900,-0.168,-49.6,0.437,49.6
28.000,-0.168,-49.6,0.437,49.6
28.100,-0.168,-49.6,0.437,49.6
28.200,-0.168,-49.6,0.437,49.6
28.300,-0.168,-49.6,0.437,49.6
28.400,-0.168,-49.6,0.437,49.6
28.500,-2.72,-45.6,0.831,45.6
28.600,-3.49,-11.1,0.665,11.7
28.700,-1.55,-2.29,0.336,2.79
28.800,-0.971,-0.503,0.101,1.10
28.900,-0.857,-0.108,0.0975,0.869
29.000,-0.849,-0.0360,0.108,0.857
29.100,-0.878,0.00750,0.104,0.884
29.200,-0.971,0.0135,0.125,0.979
29.300,-0.983,0.0945,0.141,0.997
29.400,-0.947,0.198,0.131,0.976
29.500,-0.834,0.426,0.108,0.943
29.600,-0.683,0.771,0.123,1.04
29.700,-0.569,1.82,-0.0810,1.91
29.800,-0.432,4.30,-1.67,4.63
29.900,-0.341,13.0,-4.61,13.8
30.000,1.07,38.4,-3.40,38.6
30.100,-0.168,48.7,0.437,48.7
30.200,-0.168,48.7,0.437,48.7
30.300,-0.168,48.7,0.437,48.7
30.400,-0.168,48.7,0.437,48.7
30.500,-0.168,48.7,0.437,48.7
30.600,-0.168,48.7,0.437,48.7
30.700,-0.168,48.7,0.437,48.7
30.800,-0.168,48.7,0.437,48.7
30.900,-0.168,48.7,0.437,48.7
31.000,-0.168,48.7,0.437,48.7
31.100,-0.168,48.7,0.437,48.7
31.200,-0.168,48.7,0.437,48.7
31.300,-0.168,48.7,0.437,48.7
31.400,-0.168,48.7,0.437,48.7
31.500,-0.168,48.7,0.437,48.7
31.600,-0.168,48.7,0.437,48.7
31.700,2.73,43.6,-1.56,43.7
31.800,1.56,4.30,-0.738,4.63
31.900,0.252,0.504,-0.105,0.573
32.000,0.111,0.213,-0.0645,0.249
