"Time (s) Run #1","Force (N) Run #1","Acceleration - x (m/s²) Run #1","Acceleration - y (m/s²) Run #1","Acceleration - z (m/s²) Run #1","Acceleration - resultant (m/s²) Run #1","Angular Velocity - x (rad/s) Run #1","Angular Velocity - y (rad/s) Run #1","Angular Velocity - z (rad/s) Run #1"
10.800,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
10.850,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
10.900,0.04,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
10.950,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
11.000,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
11.050,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
11.100,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
11.150,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
11.200,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
11.250,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
11.300,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
11.350,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
11.400,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
11.450,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
11.500,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
11.550,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
11.600,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
11.650,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
11.700,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
11.750,0.04,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
11.800,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
11.850,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
11.900,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
11.950,0.03,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
12.000,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
12.050,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
12.100,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
12.150,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
12.200,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
12.250,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
12.300,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
12.350,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
12.400,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
12.450,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
12.500,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
12.550,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
12.600,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
12.650,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
12.700,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
12.750,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
12.800,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
12.850,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
12.900,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
12.950,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
13.000,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
13.050,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
13.100,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.150,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.200,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.250,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.300,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.350,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
13.400,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.450,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.500,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
13.550,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.600,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.650,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.700,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
13.750,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.800,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.850,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
13.900,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
13.950,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
14.000,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
14.050,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
14.100,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
14.150,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
14.200,0.01,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
14.250,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
14.300,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
14.350,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
14.400,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
14.450,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
14.500,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
14.550,0.05,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
14.600,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
14.650,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
14.700,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
14.750,0.03,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
14.800,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
14.850,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
14.900,0.04,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
14.950,0.04,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
15.000,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
15.050,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
15.100,0.04,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
15.150,0.04,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
15.200,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
15.250,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
15.300,0.04,9.9,0.0,0.0,9.9,0.0,0.0,6.1E-4
15.350,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
15.400,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
15.450,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
15.500,0.04,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
15.550,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
15.600,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
15.650,0.04,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
15.700,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
15.750,0.04,9.8,0.0,0.0,9.8,0.0,0.0,6.1E-4
15.800,0.04,9.9,1.9E-4,0.0,9.9,0.0,0.0,-6.1E-4
15.850,0.04,9.8,-0.1,0.0,9.8,-1.2E-4,0.0,-6.1E-4
15.900,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
15.950,0.02,9.8,0.0,0.0,9.8,0.0,0.0,0.0
16.000,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
16.050,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
16.100,0.04,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
16.150,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
16.200,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
16.250,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
16.300,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
16.350,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
16.400,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
16.450,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
16.500,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
16.550,0.03,9.8,0.0,0.0,9.8,0.0,0.0,-6.1E-4
16.600,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
16.650,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
16.700,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
16.750,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
16.800,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
16.850,0.02,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
16.900,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,-6.1E-4
16.950,0.04,9.8,-0.1,0.0,9.8,0.0,0.0,0.0
17.000,0.03,9.8,-0.1,0.0,9.8,0.0,0.0,6.1E-4
